LCNumber,OurReference,LCYearSeq,CustomerName,CustomerCode,CountryName,AdvisingBankName,IssuingBankName,PaymentTermText,SightOrDeferred,CurrencyCode,LCAmount,UtilizedAmount,OutstandingAmount,IssuanceDate,ExpiryDate,LatestShipmentDate,InvoiceCount,LCStatus,IsClosed,SourceFile,SourceRow
26/BMLCU/40464,2026/ILC/3378,1,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,93458.11,93458.11,0.0,2025-10-24,2026-01-21,2025-12-31,1,Fully Drawn,TRUE,LC Master Export 2026.xlsx,3
26/BMLCU/40579,2026/ILC/3381,2,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,237831.61,232613.67,5217.94,2026-01-28,2026-03-08,2026-02-15,4,Partially Drawn,FALSE,LC Master Export 2026.xlsx,4
26/BMLCU/40801,2026/ILC/3388,3,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,414745.85,414745.85,0.0,2026-02-17,2026-04-05,2026-03-15,2,Fully Drawn,TRUE,LC Master Export 2026.xlsx,5
26/BMLCU/40829,2026/ILC/3393,4,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,172096.92,172096.92,0.0,2026-02-22,2026-04-05,2026-03-15,1,Fully Drawn,TRUE,LC Master Export 2026.xlsx,6
OLCD001260139,TF2605000007JEDX,5,Al Hikma Fzco Iraq,2000018,Iraq,INMA,INT. DEV. BANK,180 Days From Shipment,Deferred,USD,750804.98,750802.3,2.68,2026-02-18,2026-05-12,2026-04-28,2,Partially Drawn,FALSE,LC Master Export 2026.xlsx,7
777LC09260770017,ELC26BH00427,6,Samt For Medical Supplies,2000012,Libya,ABC,JUMHOURIA BANK,60 Calendar Days After Presentation of Complied Documents,Deferred,USD,200806.15,200806.15,0.0,2026-03-18,2026-06-16,2026-05-06,1,Fully Drawn,TRUE,LC Master Export 2026.xlsx,8
OLCD001260145,TF2608300001JEDX,7,Al Hikma Fzco Iraq,2000018,Iraq,INMA,INT. DEV. BANK,180 Days From Shipment,Deferred,USD,747352.2,700495.28,46856.92,2026-03-18,2026-05-12,2026-04-27,3,Partially Drawn,FALSE,LC Master Export 2026.xlsx,9
TF2606933771,EXWC020935,8,Zenith Pharma,2000022,Morocco,ANB,BANQUE POPULAIRE DE,180 Days From Shipment Beneficiary Draft,Deferred,USD,2881945.35,2881942.19,3.16,2026-03-10,2026-11-19,2026-10-30,8,Partially Drawn,FALSE,LC Master Export 2026.xlsx,10
AB1000ILC0074126,ELC/2026/00441QA,9,Lanamed Pharmaceuticals Import,2001209,Ethiopia,QNB,AWASH BANK,At Sight,Deferred,USD,52678.12,46729.0,5949.12,2026-03-24,2026-06-21,2026-06-01,1,Partially Drawn,FALSE,LC Master Export 2026.xlsx,11
GDAIBDIMP0083/26,ELC/2026/00478QA,10,Kare Pharmaceutical Plc,2001332,Ethiopia,QNB,GADAABANK,At Sight,Deferred,USD,475381.73,475381.74,-0.01,2026-03-25,2026-06-22,2026-06-01,2,Partially Drawn,FALSE,LC Master Export 2026.xlsx,12
