Title,LCNumber,OurReference,CustomerName,CustomerCode,CurrencyCode,InvoiceAmount,PresentationDate,InvoiceStatus,CollectionDate,DueDate,TrackingNumber,InvoiceNotes,NextAction,SourceFile,SourceRow,SourceBlock
91187251,26/BMLCU/40464,2026/ILC/3378,Al Hashar Pharmacy Llc,2000006,USD,93458.11,,Accepted,,2026-07-30,,,Add collection date,LC Master Export 2026.xlsx,3,1
91189924,26/BMLCU/40579,2026/ILC/3381,Al Hashar Pharmacy Llc,2000006,USD,57415.67,,Accepted,,2026-08-04,,,Add collection date,LC Master Export 2026.xlsx,4,1
91186097,26/BMLCU/40579,2026/ILC/3381,Al Hashar Pharmacy Llc,2000006,USD,155195.44,,Accepted,,2026-08-04,,,Add collection date,LC Master Export 2026.xlsx,4,2
91189919,26/BMLCU/40579,2026/ILC/3381,Al Hashar Pharmacy Llc,2000006,USD,1993.6,,Accepted,,2026-08-04,,,Add collection date,LC Master Export 2026.xlsx,4,3
91189901,26/BMLCU/40579,2026/ILC/3381,Al Hashar Pharmacy Llc,2000006,USD,18008.96,,Issued,,,,Not yet accepted,Enter presentation date,LC Master Export 2026.xlsx,4,4
91195705,26/BMLCU/40801,2026/ILC/3388,Al Hashar Pharmacy Llc,2000006,USD,355645.85,,Accepted,,2026-08-25,,,Add collection date,LC Master Export 2026.xlsx,5,1
91196156,26/BMLCU/40801,2026/ILC/3388,Al Hashar Pharmacy Llc,2000006,USD,59100.0,,Accepted,2026-08-25,2026-08-25,,,Complete,LC Master Export 2026.xlsx,5,2
91197426,26/BMLCU/40829,2026/ILC/3393,Al Hashar Pharmacy Llc,2000006,USD,172096.92,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,6,1
91200826,OLCD001260139,TF2605000007JEDX,Al Hikma Fzco Iraq,2000018,USD,650451.0,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,7,1
91206415,OLCD001260139,TF2605000007JEDX,Al Hikma Fzco Iraq,2000018,USD,100351.3,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,7,2
91199933,777LC09260770017,ELC26BH00427,Samt For Medical Supplies,2000012,USD,200806.15,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,8,1
91206417,OLCD001260145,TF2608300001JEDX,Al Hikma Fzco Iraq,2000018,USD,374620.58,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,9,1
91213842,OLCD001260145,TF2608300001JEDX,Al Hikma Fzco Iraq,2000018,USD,286840.8,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,9,2
91213847,OLCD001260145,TF2608300001JEDX,Al Hikma Fzco Iraq,2000018,USD,39033.9,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,9,3
91206606,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,438144.0,,Accepted,,2026-10-09,,,Add collection date,LC Master Export 2026.xlsx,10,1
91206608,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,310587.01,,Accepted,,2026-10-09,,,Add collection date,LC Master Export 2026.xlsx,10,2
91206609,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,37391.84,,Accepted,,2026-10-09,,,Add collection date,LC Master Export 2026.xlsx,10,3
91213275,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,84657.9,,Issued,,,,,Enter presentation date,LC Master Export 2026.xlsx,10,4
