Title,CustomerCode,CustomerNameNormalized,CountryName,CustomerType,IsActive,SortOrder
Abu Amin Group For Trade,2000016,ABU AMIN FOR TRADE,Yemen,Distributor,TRUE,100
Advance Pharma Co,3000119,ADVANCE PHARMA,Iraq,Distributor,TRUE,100
Afaq Int. Marketing & Import Free Zone,2000584,AFAQ INT MARKETING IMPORT FREE ZONE,Iraq,Distributor,TRUE,100
Afghan Tolo,2001150,AFGHAN TOLO,Export Head,Distributor,TRUE,100
Agri Gates General Trading L.l.c,2001919,AGRI GATES GENERAL,UAE,Distributor,TRUE,100
Al - Mojil Drug Co.,2000000,AL MOJIL DRUG,Kuwait,Distributor,TRUE,100
Al - Mojil Drug Co. (sgh),4555556,AL MOJIL DRUG SGH,Kuwait,Distributor,TRUE,100
Al Adeeb,2000425,AL ADEEB,Iraq,Distributor,TRUE,100
Al Ansar Marketing (amc),2000003,AL ANSAR MARKETING AMC,Egypt,Distributor,TRUE,100
Al Arz Scientific Bureau,3000130,AL ARZ SCIENTIFIC BUREAU,Iraq,Distributor,TRUE,100
Al Badeel Al Tiby Company,2001739,AL BADEEL AL TIBY,Libya,Distributor,TRUE,100
Al Dammam Pharma Trading Co. Ltd.,2000583,AL DAMMAM PHARMA,Sudan,Distributor,TRUE,100
Al Hashar Pharmacy (sgh),2000028,AL HASHAR PHARMACY SGH,Oman,Distributor,TRUE,100
Al Hashar Pharmacy Llc,2000006,AL HASHAR PHARMACY,Oman,Distributor,TRUE,100
Al Hikma Fzco Iraq,2000018,AL HIKMA IRAQ,Iraq,Distributor,TRUE,100
Al Hikma Fzco Yemen,2001284,AL HIKMA YEMEN,Yemen,Distributor,TRUE,100
Al Kanz Company,2001208,AL KANZ,Iraq,Distributor,TRUE,100
Al Manhal Company,2000945,AL MANHAL,Libya,Distributor,TRUE,100
Al Tafa'ol Trading Est.(sgh),2000164,AL TAFA OL SGH,Qatar,Distributor,TRUE,100
Al-tafa'ol Trading Est.,2000001,AL TAFA OL,Qatar,Distributor,TRUE,100
Ali Abdul Wahab Son's & Comp. (sgh),4555558,ALI ABDUL WAHAB SON S COMP SGH,Kuwait,Distributor,TRUE,100
Ali Abdulwahab Al-mutawa Commercial,2000004,ALI ABDULWAHAB AL MUTAWA COMMERCIAL,Kuwait,Distributor,TRUE,100
Alphamed,2000005,ALPHAMED,UAE,Distributor,TRUE,100
Alphamed Co Abu Dhabi Ltd Llc,3000229,ALPHAMED ABU DHABI,UAE,Distributor,TRUE,100
Alphamed Shj Est,3000228,ALPHAMED SHJ,UAE,Distributor,TRUE,100
Altes Pharm Ltd,2000686,ALTES PHARM,Kazakhstan,Distributor,TRUE,100
Alyaa Group Of Pharmacies,2000351,ALYAA OF PHARMACIES,Sudan,Distributor,TRUE,100
Aman Health Care Trade,2001169,AMAN HEALTH CARE TRADE,Ethiopia,Distributor,TRUE,100
Amba Pharmaceuticals Plc,2000017,AMBA PHARMACEUTICALS,Ethiopia,Distributor,TRUE,100
Antula Health Care Ab,3000032,ANTULA HEALTH CARE AB,Sweden,Distributor,TRUE,100
Arrow,2000014,ARROW,France,Distributor,TRUE,100
At Pharma Spa,2000958,AT PHARMA SPA,Algeria,Distributor,TRUE,100
Averroes Pharmaceuticals Sdn. Bhd.,2000190,AVERROES PHARMACEUTICALS SDN BHD,Malaysia,Distributor,TRUE,100
Behzad Pharmacy,2000002,BEHZAD PHARMACY,Bahrain,Distributor,TRUE,100
Behzad Pharmacy (sgh),2000025,BEHZAD PHARMACY SGH,Bahrain,Distributor,TRUE,100
Beker General Business Pl,2001482,BEKER GENERAL BUSINESS PL,Ethiopia,Distributor,TRUE,100
Bilquis Drug Store (yemen).,3000207,BILQUIS DRUG STORE YEMEN,Yemen,Distributor,TRUE,100
