Title,BankCode,SwiftBIC,BankGroup,CanAdvise,CanIssue,CanConfirm,CanReimburse,CountryName,StandardExamDays,IsActive,SortOrder
ABC,ABC,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
ADIB,ADIB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
ALWAHA BANK,ALWAHABANK,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
ANB,ANB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
ARAB BANK,ARABBANK,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
AWASH BANK,AWASHBANK,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
BANK DHOFAR,BANKDHOFAR,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
BANK MUSCAT OMAN,BANKMUSCATOMAN,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
BANK MUSCAT SA,BANKMUSCATSA,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
BANK OF AFRICA,BANKOFAFRICA,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
BANQUE POPULAIRE DE,BANQUEPOPULAIREDE,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
BILAD,BILAD,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
BSF,BSF,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
ENBD,ENBD,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
FAB,FAB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
GADAABANK,GADAABANK,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
GIB,GIB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
Global Banks,GLOBALBANKS,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
INMA,INMA,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
INT. DEV. BANK,INTDEVBANK,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
JUMHOURIA BANK,JUMHOURIABANK,,Global,FALSE,TRUE,FALSE,FALSE,,5,TRUE,100
NBI,NBI,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
QNB,QNB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
RAJHI BANK,RAJHIBANK,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
RIYAD BANK,RIYADBANK,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
SA Banks,SABANKS,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
SAB,SAB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
SNB,SNB,,Domestic,TRUE,FALSE,FALSE,FALSE,,5,TRUE,100
