Title,EntityName,StatusCode,StatusDisplayName,LifecycleStage,StageOrder,BadgeColor,AllowedNextStatuses,RequiresApproval,ApprovalRoleCode,RequiresComment,IsOpenState,IsTerminal,IsActive,SortOrder
Draft,ExportLC,Draft,Draft,Received,1,Muted,Received;Cancelled,FALSE,,FALSE,TRUE,FALSE,TRUE,10
Received,ExportLC,Received,Received,Received,1,Info,Under Review;Cancelled,FALSE,,FALSE,TRUE,FALSE,TRUE,20
Under Review,ExportLC,Under Review,Under Review,Reviewed,2,Progress,Active;Received;Cancelled,FALSE,,TRUE,TRUE,FALSE,TRUE,30
Active,ExportLC,Active,Active,Active,3,Success,Shipment Pending;Presented;Expired;Closed;Cancelled,FALSE,,FALSE,TRUE,FALSE,TRUE,40
Shipment Pending,ExportLC,Shipment Pending,Shipment Pending,Shipment,4,Progress,Presented;Active;Expired,FALSE,,FALSE,TRUE,FALSE,TRUE,50
Presented,ExportLC,Presented,Presented,Presentation,5,Progress,Under Examination;Expired,FALSE,,FALSE,TRUE,FALSE,TRUE,60
Under Examination,ExportLC,Under Examination,Under Examination,Examination,6,Progress,Clean;Discrepancy,FALSE,,FALSE,TRUE,FALSE,TRUE,70
Clean,ExportLC,Clean,Clean,Examination,6,Success,Accepted,FALSE,,FALSE,TRUE,FALSE,TRUE,80
Discrepancy,ExportLC,Discrepancy,Discrepancy,Examination,6,Danger,Clean;Accepted;Under Examination,FALSE,,TRUE,TRUE,FALSE,TRUE,90
Accepted,ExportLC,Accepted,Accepted,Acceptance,7,Success,Partially Drawn;Fully Drawn;Paid,FALSE,,FALSE,TRUE,FALSE,TRUE,100
Partially Drawn,ExportLC,Partially Drawn,Partially Drawn,Acceptance,7,Progress,Shipment Pending;Presented;Fully Drawn;Expired,FALSE,,FALSE,TRUE,FALSE,TRUE,110
Fully Drawn,ExportLC,Fully Drawn,Fully Drawn,Acceptance,7,Info,Paid;Closed,FALSE,,FALSE,TRUE,FALSE,TRUE,120
Paid,ExportLC,Paid,Paid,Payment,8,Success,Closed,FALSE,,FALSE,TRUE,FALSE,TRUE,130
Closed,ExportLC,Closed,Closed,Closed,9,Muted,,TRUE,MANAGER,TRUE,FALSE,TRUE,TRUE,140
Cancelled,ExportLC,Cancelled,Cancelled,Closed,9,Muted,,TRUE,MANAGER,TRUE,FALSE,TRUE,TRUE,150
Expired,ExportLC,Expired,Expired,Closed,9,Warning,Closed;Cancelled,FALSE,,TRUE,TRUE,FALSE,TRUE,160
Draft,Amendment,Draft,Draft,,1,Muted,Received;Cancelled,FALSE,,FALSE,TRUE,FALSE,TRUE,10
Received,Amendment,Received,Received,,2,Info,Under Review;Rejected;Cancelled,FALSE,,FALSE,TRUE,FALSE,TRUE,20
Under Review,Amendment,Under Review,Under Review,,3,Progress,Pending Acceptance;Rejected,FALSE,,FALSE,TRUE,FALSE,TRUE,30
Pending Acceptance,Amendment,Pending Acceptance,Pending Acceptance,,4,Warning,Accepted;Rejected,FALSE,,FALSE,TRUE,FALSE,TRUE,40
